&CID=3776933
&SUBID=116408
&PROCESSTYPE=OVERWRITE
&AID=11124599
&PARAMETERS=NAME|KEYWORDS|DESCRIPTION|SKU|BUYURL|AVAILABLE|IMAGEURL|PRICE|RETAILPRICE|PROMOTIONALTEXT|ADVERTISERCATEGORY|INSTOCK|CONDITION|WARRANTY|STANDARDSHIPPINGCOST|AUTHOR|MANUFACTURER
"Replacement for Brother DR110CL Laser cartridge Drum Unit (DR-110CL)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP 9040CN,Brother DCP 9045CDN,Brother HL-4040CDN,Brother HL-4040CN,Brother HL-4070CDW,Brother MFC-9440CN,Brother MFC-9450CDN,Brother MFC-9840CDW,Brother MFC-9840CN",DRUM-Brother-DR110CL,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR110CL&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR110CL-2.jpg,99.99,219.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Replacement for Brother DR210CL set of 4 Laser cartridge Drum Unit (DR-210CL)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-9010CN,Brother HL-3040CN,Brother HL-3045CN,Brother HL-3070CW,Brother HL-3075CW,Brother MFC-9010CN,Brother MFC-9120CN,Brother MFC-9125CN,Brother MFC-9320CN,Brother MFC-9320CW,Brother MFC-9325CW",DRUM-Brother-DR210CL,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR210CL&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR210CL-2.jpg,99.99,179.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR300 Laser Toner Drum Unit for Brother HL-1040 / HL-1050 / HL-1060 / HL-1070 Laser Toner Printers","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother HL-1040,Brother HL-1050,Brother HL-1060,Brother HL-1070",DRUM-Brother-DR300,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR300&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR300-2.jpg,74.99,139.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR350 Laser cartridge Drum Unit (DR-350)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-7010,Brother DCP-7020,Brother DCP-7025,Brother HL-2030,Brother HL-2030R,Brother HL-2040,Brother HL-2040N,Brother HL-2040R,Brother HL-2070N,Brother HL-2070NR,Brother Intellifax 2820,Brother Intellifax 2850,Brother Intellifax 2910,Brother Intellifax 2920,Brother MFC-7220,Brother MFC-7225N,Brother MFC-7420,Brother MFC-7820D,Brother MFC-7820N",DRUM-Brother-DR350,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR350&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR350-2.jpg,36.99,80.79,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR360 Laser cartridge Drum Unit (DR-360)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-7030,Brother DCP-7040,Brother DCP-7045N,Brother HL-2140,Brother HL-2150N,Brother HL-2170W,Brother MFC-7320,Brother MFC-7340,Brother MFC-7345DN,Brother MFC-7345N,Brother MFC-7440N,Brother MFC-7840W",DRUM-Brother-DR360,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR360&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR360-2.jpg,36.99,80.79,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Brother DR400 Compatible Drum Unit for Brother HL-1030,FAX-5750","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP 1200,Brother DCP 1400,Brother FAX-4750,Brother FAX-5750,Brother FAX-8350P,Brother FAX-8360P,Brother FAX-8750P,Brother HL-1030,Brother HL-1230,Brother HL-1240,Brother HL-1250,Brother HL-1270N,Brother HL-1430,Brother HL-1435,Brother HL-1440,Brother HL-1450,Brother HL-1470N,Brother HL-P2500,Brother Intellifax 4100,Brother Intellifax 4100e,Brother Intellifax 4750,Brother Intellifax 4750e,Brother Intellifax 5750,Brother Intellifax 5750e,Brother Intellifax 5750p,Pitney Bowes Laser Printer 1630,Brother MFC-1260,Brother MFC-1270,Brother MFC-2500,Brother MFC-8300,Brother MFC-850,Brother MFC-8500,Brother MFC-8600,Brother MFC-8700,Brother MFC-9600,Brother MFC-9650,Brother MFC-9660,Brother MFC-9660N,Brother MFC-9700,Brother MFC-9750,Brother MFC-9760,Brother MFC-9800,Brother MFC-9850,Brother MFC-9860,Brother MFC-9870,Brother MFC-9880,Brother MFC-9880N,Brother MFC-P2500,Brother PPF-4750,Brother PPF-5750",DRUM-Brother-DR400,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR400&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR400-2.jpg,41.99,109.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR420 Laser Cartridge Drum Unit (DR-420)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-7060D,Brother DCP-7065DN,Brother HL-2130,Brother HL-2132,Brother HL-2220,Brother HL-2230,Brother HL-2240,Brother HL-2240D,Brother HL-2242D,Brother HL-2250DN,Brother HL-2270DW,Brother HL-2280DW,Brother MFC-7360N,Brother MFC-7460DN,Brother MFC-7860DW",DRUM-Brother-DR420,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR420&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR420-2.jpg,36.99,57.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR500 Laser cartridge Drum Unit (DR-500)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-8020,Brother DCP-8025D,Brother DCP-8025DN,Brother HL-1650,Brother HL-1650LT,Brother HL-1650N,Brother HL-1650N Plus,Brother HL-1670n,Brother HL-1670NLT,Brother HL-1850,Brother HL-1850LT,Brother HL-1870n,Brother HL-1870NLT,Brother HL-5040,Brother HL-5050,Brother HL-5050LT,Brother HL-5070DN,Brother HL-5070n,Brother HL-5070NLT,Brother HL-8420,Brother MFC-8420,Brother MFC-8820,Brother MFC-8820D,Brother MFC-8820DN",DRUM-Brother-DR500,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR500&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR500-2.jpg,41.99,109.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR510 Laser cartridge Drum Unit (DR-510)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-8040,Brother DCP-8040D,Brother DCP-8045D,Brother DCP-8045DN,Brother HL-5100,Brother HL-5130,Brother HL-5140,Brother HL-5140LT,Brother HL-5150D,Brother HL-5150DLT,Brother HL-5170D,Brother HL-5170DLT,Brother HL-5170DN,Brother HL-5170DNLT,Brother HL-5170N,Brother MFC-8120,Brother MFC-8220,Brother MFC-8440,Brother MFC-8440D,Brother MFC-8640D,Brother MFC-8840,Brother MFC-8840D,Brother MFC-8840DN",DRUM-Brother-DR510,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR510&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR510-2.jpg,41.99,109.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
"Compatible Brother DR520 Laser cartridge Drum Unit (DR-520)","printer ink cartridges,printer ink cartridge,laser toner cartridge,laser toner cartridges,discount cartridges,printer color cartridges,printing cartridges,discount cartridge,discount printer cartridges,discount color cartridges,discount printer color cartridge,discount printing cartridge","Brother DCP-8060,Brother DCP-8065,Brother DCP-8065DN,Brother HL-5200,Brother HL-5240,Brother HL-5240LT,Brother HL-5250,Brother HL-5250DN,Brother HL-5250DNHY,Brother HL-5250DNLT,Brother HL-5250DNT,Brother HL-5270DN,Brother HL-5280,Brother HL-5280DW,Brother HL-5280DWLT,Brother MFC-8460N,Brother MFC-8470dn,Brother MFC-8660,Brother MFC-8660DN,Brother MFC-8670DN,Brother MFC-8860DN,Brother MFC-8860N,Brother MFC-8870DW,Brother MFC-8870WN",DRUM-Brother-DR520,http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR520&click=360&utm_source=commisonjunction&utm_medium=affiliates,YES,http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR520-2.jpg,41.99,98.99,Free shipping for orders over $50, ,YES,New,1 Year Warranty,3.99,"Drum Unit",Brother
